year,month,origin,destination,number_of_flights
2019,1,EVRA,EDDM,42
2019,1,EHAM,LKPR,142
2019,1,LTBA,LWSK,58
2019,1,EBBR,LEAL,53
2019,1,ENGM,EHAM,122
2019,1,LSGG,LIRF,118
2019,1,EVRA,ULLI,19
2019,1,LFPO,LFBO,706
2019,1,LIMC,LEMD,159
2019,1,EFHK,EDDF,135
2019,1,LTBA,LBSF,73
2019,1,LHBP,EHAM,71
2019,1,EHAM,LPPT,174
2019,1,EHAM,LIRF,213
2019,1,LIMF,LIRF,230
2019,1,LTBA,LGAV,110
2019,1,EVRA,EGKK,39
2019,1,LTBA,LIPZ,93
2019,1,EDDK,LOWW,142
2019,1,UUEE,LEAL,26
2019,1,LIMC,LEBL,94
2019,1,LFPG,LKPR,159
2019,1,LOWW,LIME,31
2019,1,EBBR,LOWW,141
2019,1,LBSF,LIME,25
2019,1,UUDD,EDDM,175
2019,1,LSZH,EGLL,289
2019,1,ESSA,LEAL,54
2019,1,LOWW,ESSA,66
2019,1,LTBA,EIDW,38
2019,1,LSGG,LEMD,177
2019,1,EVRA,EPWA,19
2019,1,LTBA,EGLL,171
2019,1,EHAM,LSGG,190
2019,1,LSGG,LPPT,159
2019,1,LIMC,EHAM,126
2019,1,ESSA,EDDF,219
2019,1,LIPZ,EGLL,45
2019,1,EKCH,EGLL,239
2019,1,UUEE,LFLL,56
2019,1,BIKF,EHAM,58
2019,1,LSGG,EGKK,260
2019,1,LEMD,LPPT,410
2019,1,LFLL,EGKK,65
2019,1,EDDF,LOWW,277
2019,1,EDDB,LOWW,16
2019,1,LPFR,LPPT,91
2019,1,LFPO,LPPT,254
2019,1,EGBB,LEAL,50
2019,1,EGKK,EDDB,36
2019,1,LFBD,EGKK,43
2019,1,UUEE,EPWA,127
2019,1,EGLL,LPPT,202
2019,1,EDDB,EHAM,70
2019,1,EHAM,LEBL,97
2019,1,BIKF,EDDF,65
2019,1,LFBD,LFLL,150
2019,1,EHAM,LSZH,135
2019,1,LKPR,EGLL,94
2019,1,ULLI,UUWW,633
2019,1,EDDB,LIMF,9
2019,1,UUEE,LDZA,31
2019,1,LSZH,LEMD,262
2019,1,EFHK,EIDW,13
2019,1,LIBD,LIRF,228
2019,1,LTBA,EGCC,50
2019,1,EVRA,LSZH,39
2019,1,EHAM,EGKK,216
2019,1,EFHK,EDDM,135
2019,1,LFPG,EGKK,102
2019,1,LSZH,EPWA,141
2019,1,LFML,LEMD,72
2019,1,LIME,LROP,81
2019,1,EDDB,LKPR,6
2019,1,LIMC,LSZH,125
2019,1,EHAM,LEMG,84
2019,1,LOWW,LFPG,212
2019,1,BIKF,EDDB,31
2019,1,EGPH,EGKK,155
2019,1,EBBR,LFPG,52
2019,1,EDDM,EDDF,366
2019,1,EFHK,LIMC,57
2019,1,LTBA,LSZH,79
2019,1,UUEE,LKPR,259
